datatype,objectid,displayorder,forwardtext,invertedtext,remarks,effectivedate
previous_attribution,128,1,Giovanni Antonio Amadeo,"Amadeo, Giovanni Antonio",Attribution at time of gift,
previous_attribution,129,1,Luca della Robbia,"Robbia, Luca della",Attribution at time of gift,
previous_attribution,129,2,Atelier of Andrea della Robbia,"Robbia, Andrea della, Atelier of",Bd. Tr. approval 2/1/41,
previous_attribution,130,1,Luca della Robbia,"Robbia, Luca della",Attribution at time of gift,
previous_attribution,131,2,Andrea della Robbia,"Robbia, Andrea della",Bd. Tr. approval 2/1/41,
previous_attribution,131,1,Luca della Robbia,"Robbia, Luca della",Attribution at time of gift,
previous_attribution,133,1,Mino da Fiesole,Mino da Fiesole,Attribution at time of gift,
previous_attribution,136,2,Florentine 15th Century,Florentine 15th Century,Bd. Tr. approval 2/1/1941,2010-01-19
previous_attribution,136,1,Desiderio da Settignano,Desiderio da Settignano,Attribution at time of gift,
previous_attribution,137,3,Benedetto da Maiano,Benedetto da Maiano,Bd. Tr. approval 10/4/1984,
previous_attribution,137,1,Donatello,Donatello,Attribution at time of gift,
previous_attribution,137,2,Studio of Benedetto da Maiano,"Benedetto da Maiano, Studio of",Bd. Tr. approval 5/5/1976,          
previous_attribution,138,1,Giovanni Bologna,"Bologna, Giovanni",Attribution at time of gift,
previous_attribution,138,3,Attributed to Francesco Righetti after Giovanni Bologna,"Righetti, Francesco, Attributed to after Giovanni Bologna",Bd. Tr. approval 10/9/1986,
previous_attribution,138,2,Attributed to Adriaen de Vries,"Vries, Adriaen de, Attributed to",Bd. Tr. approval 9/29/1970,
previous_attribution,139,1,Jacopo Sansovino,"Sansovino, Jacopo",Attribution at time of gift,
previous_attribution,139,2,Probably Roman,"Roman, Probably",Bd. Tr. approval 10/1/87,
previous_attribution,140,2,Probably Roman,"Roman, Probably",Bd. Tr. approval 10/1/1987,""
previous_attribution,140,1,Jacopo Sansovino,"Sansovino, Jacopo",Attribution at time of gift,
previous_attribution,147,1,Antonio Vivarini,"Vivarini, Antonio","Attribution at time of acquisition
",2008-12-23
previous_attribution,160,1,Lippo Memmi,Lippo Memmi,Attribution at time of gift,
previous_attribution,160,2,Lippo Memmi (?),"Memmi (?), Lippo","Bd. Tr. approval 2/1/1941.  Change was to ""(?)"".  Closest CMS term is ""Possibly"".",
previous_attribution,161,2,Lippo Memmi (?),Lippo Memmi (?),"Bd. Tr. approval 2/1/1941.  Change was to ""(?)"".  Closest CMS term is ""Possibly"".",
previous_attribution,161,1,Lippo Memmi,Lippo Memmi,Attribution at time of acquisition,
previous_attribution,220,1,Pontormo,Pontormo,Attribution at time of gift,
previous_attribution,229,1,Domenico Fetti,"Fetti, Domenico",Attribution at time of gift,
previous_attribution,239,1,Jacopo Tintoretto,"Tintoretto, Jacopo",Bd. Tr. approval 10/4/1984,1984-10-04
previous_attribution,239,2,Dosso Dossi,"Dossi, Dosso",Attribution at time of gift,1939
previous_attribution,256,2,Attributed to Francesco del Cossa,"Cossa, Francesco del, Attributed to","Bd. Tr. approval 1/9/1964
",
previous_attribution,256,1,Francesco del Cossa,"Cossa, Francesco del",Attribution at time of gift,
previous_attribution,272,1,Master of the Life of Saint John the Baptist,Master of the Life of Saint John the Baptist,"This change appears not to have been passed by the Bd. Tr.; memos in the object file indicate John Walker directed the change be made in December 1956, and the change was finalized by June 1957.",1957-06-01
previous_attribution,272,2,Giovanni Baronzio,"Baronzio, Giovanni",Attribution at time of gift,1939
previous_attribution,283,2,Italian 16th Century,Italian 16th Century,Change memo 11/14/83,
previous_attribution,283,1,Venetian School (Possibly Giorgione),Venetian School (Possibly Giorgione),Attribution at time of gift,
previous_attribution,294,1,Biagio d'Antonio da Firenze,Biagio d'Antonio da Firenze,"Bd. Tr. approval 1/9/1964 not for a true attribution change, but for a change from using the name Giovanni Battista Utili, then thought to be a different name for the same artist, but now identified as Giovanni Battista Bertucci.
",1964-01-09
previous_attribution,296,1,Perugino,Perugino,Attribution at time of gift,
previous_attribution,300,2,Follower of Caravaggio,"Caravaggio, Follower of",Bd. Tr. approval 9/30/1981,          
previous_attribution,300,1,Michelangelo Merisi da Caravaggio,"Caravaggio, Michelangelo Merisi da",Attribution at time of gift,
previous_attribution,319,2,Andrea Mantegna,"Mantegna, Andrea",Original Kress Collection attribution,
previous_attribution,319,1,Circle of Andrea Mantegna,"Mantegna, Andrea, Circle of",Bd. Tr. approval 9/26/72,1972-09-26
previous_attribution,320,1,Giovanni Battista Utili,"Utili, Giovanni Battista","Attribution at time of acquisition
",
previous_attribution,321,1,Jacopo Tintoretto,"Tintoretto, Jacopo",Attribution at time of acquisition,1939
previous_attribution,355,1,Alesso Baldovinetti,"Baldovinetti, Alesso",Attribution at time of gift,
previous_attribution,359,1,Master of the Barberini Panels,Master of the Barberini Panels,Bd. Tr. approval 2/1/1941 (artist's name was formerly given as Carrand or Barberini Master),
previous_attribution,365,1,Giovanni Bellini,"Bellini, Giovanni","Attribution at time of acquisition
",
previous_attribution,372,1,Jacopo Tintoretto,"Tintoretto, Jacopo",Attribution at time of acquisition,1939
previous_attribution,399,1,Giorgione and Titian,Giorgione and Titian,Attribution at time of acquisition,1939
previous_attribution,400,1,Follower of Titian,"Titian, Follower of",Bd. Tr. approval 1/19/1971,1971-01-19
previous_attribution,400,2,Titian,Titian,Attribution at time of gift,1939
previous_attribution,401,1,Fra Angelico,"Angelico, Fra",Attribution at time of gift,
previous_attribution,405,3,Giovanni Bellini and Workshop,"Bellini, Giovanni and Workshop","See 8/17/1983 and 8/23/1983 memos on computer artist file
",
previous_attribution,405,2,Giovanni Bellini and Assistant,"Bellini, Giovanni and Assistant","Bd. Tr. approval 5/5/1971
",
previous_attribution,405,1,Giovanni Bellini,"Bellini, Giovanni",Attribution at time of gift,
previous_attribution,406,1,Jacopo Bellini,"Bellini, Jacopo",Attribution at time of gift,1939
previous_attribution,406,2,Attributed to Jacopo Bellini,"Bellini, Jacopo, Attributed to","Bd. Tr. approval 1/9/1964
",1964-01-09
previous_attribution,409,1,Andrea Mantegna,"Mantegna, Andrea",Attribution at time of gift,
previous_attribution,422,1,Filippo Lippi,"Lippi, Filippo",Attribution at time of gift,1939
previous_attribution,423,1,Perugino,Perugino,Attribution at time of gift,
previous_attribution,434,1,Simone Martini,Simone Martini,Attribution at time of gift,1939
previous_attribution,436,3,Sassetta and Workshop,Sassetta and Workshop,"Date of change unknown, but published with this attribution in 1985 summary catalogue.
",1985
previous_attribution,436,2,Sassetta and Assistant,Sassetta and Assistant,Bd. Tr. approval 1/9/1964,1964-01-09
previous_attribution,436,1,Sassetta,Sassetta,Attribution at time of acquisition,1939
previous_attribution,437,1,Pinturicchio,Pinturicchio,"Attribution at time of acquisition
",
previous_attribution,437,2,Master of Santo Spirito,Master of Santo Spirito,"Bd. Tr. approval 5/5/1971
",
previous_attribution,447,1,Sodoma,Sodoma,Attribution at time of gift,
previous_attribution,461,1,Annibale Fontana,"Fontana, Annibale",Attribution at time of gift,
previous_attribution,463,1,Giovanni Antonio Amadeo,"Amadeo, Giovanni Antonio",Attribution at time of gift,
previous_attribution,468,2,Andrea del Verrocchio,"Verrocchio, Andrea del",Bd. Tr. approval 10/4/84,
previous_attribution,468,1,Desiderio da Settignano,Desiderio da Settignano,Attribution at time of gift,
previous_attribution,470,1,Benedetto da Maiano,Benedetto da Maiano,Attribution at time of gift,
previous_attribution,471,1,Andrea della Robbia,"Robbia, Andrea della",Attribution at time of acquisition,1939
previous_attribution,475,1,Andrea del Verrocchio,"Verrocchio, Andrea del",Attribution at time of gift,
previous_attribution,478,1,Pyrgoteles,Pyrgoteles,Attribution at time of gift,
previous_attribution,478,2,Lombard 16th Century,Lombard 16th Century,"Bd. Tr. approval 10/4/1984
",
previous_attribution,486,2,Francesco Granacci,"Granacci, Francesco",Attribution at time of gift,
previous_attribution,486,1,Master of the Kress Landscapes,Master of the Kress Landscapes,Bd. Tr. approval 5/5/71,
previous_attribution,487,1,Francesco Granacci,"Granacci, Francesco",Attribution at time of gift,
previous_attribution,487,1,Master of the Kress Landscapes,Master of the Kress Landscapes,Bd. Tr. approval 5/5/71,
previous_attribution,488,1,Francesco Granacci,"Granacci, Francesco",Attribution at time of gift,
previous_attribution,488,1,Master of the Kress Landscapes,Master of the Kress Landscapes,Bd. Tr. approval 5/5/71,
previous_attribution,494,2,Florentine School,Florentine School,Bd. Tr. approval 2/1/41,
previous_attribution,494,1,Domenico Beccafumi,"Beccafumi, Domenico",Attribution at time of gift,
previous_attribution,499,1,Giovanni Bellini,"Bellini, Giovanni",Attribution at time of gift,
previous_attribution,501,1,Cosimo Tura,"Tura, Cosimo",Attribution at time of gift; spelling of artist's first name changed in NGA records November 1998.,
previous_attribution,501,2,Attributed to Cosmè Tura,"Tura, Cosmè, Attributed to","Bd. Tr. approval 1/9/1964
",
previous_attribution,531,1,Pontormo,Pontormo,Attribution at time of gift,
previous_attribution,570,1,John Singleton Copley,"Copley, John Singleton",Attribution at time of gift,
previous_attribution,572,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,577,1,Clodion,Clodion,Attribution at time of acquistion,          
previous_attribution,578,1,Clodion,Clodion,Attribution at time of acquisition,          
previous_attribution,894,1,Domenico Morone,"Morone, Domenico",Attribution at time of gift,
previous_attribution,985,1,Francisco de Goya,"Goya, Francisco de",,
previous_attribution,991,1,Francisco de Goya,"Goya, Francisco de",,
previous_attribution,1024,1,Clodion,Clodion,Attribution at time of acquisition,          
previous_title,1043,2,Distant Ely,,,
previous_attribution,1095,4,Anonymous Unknown Nationality 18th Century,Anonymous Unknown Nationality 18th Century,Change memo 11/14/83,1983-11-14
previous_attribution,1095,3,American School (?),American School (?),Bd. Tr. approval 5/6/64,1964-05-06
previous_attribution,1095,1,John Singleton Copley,"Copley, John Singleton",Attribution at time of gift,
previous_attribution,1095,2,John Singleton Copley (?),John Singleton Copley (?),Bd. Tr. approval 6/4/43,1943-06-04
previous_attribution,1096,1,Joseph Blackburn,"Blackburn, Joseph",,
previous_attribution,1099,4,Anonymous Unknown Nationality 18th Century,Anonymous Unknown Nationality 18th Century,Change memo 11/14/83,1983-11-14
previous_attribution,1099,2,British School,British School,"Bd. Tr. approval 4/30/69; list reads ""Artist Unknown"", but original change proposal was annotated by W.P. Campbell to read ""British School"".",1969-04-30
previous_attribution,1099,5,Style of Joseph Highmore,"Highmore, Joseph, Style of",Bd. Tr. approval 10/5/89,1989-10-05
previous_attribution,1099,1,Robert Feke,"Feke, Robert",Attribution at time of gift,
previous_attribution,1099,3,American School (?),American School (?),This attribution assigned at an unknown date.,
previous_attribution,1101,1,John Lewis Krimmel,"Krimmel, John Lewis",Attribution at time of gift,
previous_attribution,1102,1,John Neagle,"Neagle, John",Attribution at time of gift,
previous_attribution,1106,1,Gilbert Stuart,"Stuart, Gilbert",Attribution at time of gift,
previous_attribution,1107,2,American 19th Century,American 19th Century,"Bd. Tr. approval 4/30/69; list reads ""Artist Unknown"", but original change proposal by W.P. Campbell reads ""American School, possibly after Gilbert Stuart"".
",1969-04-30
previous_attribution,1107,1,Gilbert Stuart,"Stuart, Gilbert",Attribution at time of gift,
previous_attribution,1109,1,Gilbert Stuart,"Stuart, Gilbert",Attribution at time of gift,
previous_attribution,1118,3,Anonymous Unknown Nationality 19th Century,Anonymous Unknown Nationality 19th Century,Change memo 11/14/83,1983-11-14
previous_attribution,1118,2,European 19th Century,European 19th Century,Bd. Tr. approval 4/30/69,1969-04-30
previous_attribution,1118,1,Gilbert Stuart,"Stuart, Gilbert",Attribution at time of gift,
previous_attribution,1131,2,European 19th Century,European 19th Century,Bd. Tr. approval 4/30/1969; see various comments on original change proposal in object file in curatorial records.,""
previous_attribution,1131,1,Samuel Lovett Waldo,"Waldo, Samuel Lovett",Attribution at time of gift,
previous_attribution,1133,1,Benjamin West,"West, Benjamin",Attribution at time of gift,
previous_attribution,1138,1,Giovanni Bellini,"Bellini, Giovanni",Attribution at time of gift,
previous_attribution,1139,1,Giovanni Bellini,"Bellini, Giovanni","Attribution at time of acquisition
",
previous_attribution,1141,1,Francesco Bonsignori,"Bonsignori, Francesco","Attribution at time of acquisition
",
previous_attribution,1144,1,Canaletto,Canaletto,,
previous_attribution,1151,2,Follower of John Crome,"Crome, John, Follower of",Bd. Tr. approval 5/3/72,1972-05-03
previous_attribution,1151,1,John Crome,"Crome, John",Attribution at time of gift,
previous_attribution,1154,1,Gerard David,"David, Gerard",Attribution at time of gift,
previous_attribution,1155,1,Gerard David,"David, Gerard",Attribution at time of gift,
previous_attribution,1156,1,Gerard David,"David, Gerard",Attribution at time of gift,
previous_attribution,1175,1,Italian School,Italian School,Attribution at time of gift,
previous_attribution,1177,1,Lorenzo di Credi,Lorenzo di Credi,"Attribution at time of acquisition
",
previous_attribution,1181,1,Andrea Mantegna,"Mantegna, Andrea","Attribution at time of acquisition
",
previous_attribution,1183,1,Domenico Morone,"Morone, Domenico",Attribution at time of gift,
previous_attribution,1189,2,Pseudo Pier Francesco Fiorentino,Pseudo Pier Francesco Fiorentino,"Bd. Tr. approval 5/6/1964
",
previous_attribution,1189,1,Pier Francesco Fiorentino,Pier Francesco Fiorentino,Attribution at time of gift,
previous_attribution,1190,1,Pontormo,Pontormo,Attribution at time of gift,
previous_attribution,1197,1,Follower of Rembrandt van Rijn,"Rembrandt van Rijn, Follower of",Bd. Tr. approval 1/26/1995,1995-01-26
previous_attribution,1197,2,Rembrandt Workshop,Rembrandt Workshop,Bd. Tr. approval 1/27/1994,1994-01-27
previous_attribution,1197,4,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,1197,3,Follower of Rembrandt van Rijn,"Rembrandt van Rijn, Follower of",Bd. Tr. approval 5/2/1984,1984-05-02
previous_attribution,1198,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,1200,2,after Rembrandt van Rijn,"Rembrandt van Rijn, after",Bd. Tr. approval 5/2/1984,          
previous_attribution,1200,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,1202,2,Style of Rembrandt van Rijn,"Rembrandt van Rijn, Style of",Bd. Tr. approval 5/2/84,
previous_attribution,1202,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,1203,1,Follower of Rembrandt van Rijn,"Rembrandt van Rijn, Follower of",Bd. Tr. approval 5/2/1984,1984-05-02
previous_attribution,1203,2,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,1205,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,1205,2,Follower of Rembrandt van Rijn (Possibly Willem Drost),"Rembrandt van Rijn, Follower of (Possibly Willem Drost)",Bd. Tr. approval 5/2/1984,          
previous_attribution,1209,1,Rembrandt van Rijn,Rembrandt van Rijn,Attribution at time of gift,
previous_attribution,1212,1,Sir Joshua Reynolds,"Reynolds, Sir Joshua",Attribution at time of gift,
previous_attribution,1212,2,Follower of Sir Joshua Reynolds,"Reynolds, Sir Joshua, Follower of",Bd. Tr. approval 1/25/73,
previous_attribution,1215,1,Sir Joshua Reynolds,"Reynolds, Sir Joshua",Attribution at time of gift,
previous_attribution,1218,1,Sir Peter Paul Rubens,"Rubens, Sir Peter Paul",Attribution at time of gift,
previous_attribution,1221,1,Follower of Titian,"Titian, Follower of",Bd. Tr. approval 5/5/1976,1976-05-05
previous_attribution,1221,2,Titian,Titian,Attribution at time of gift,1942
previous_attribution,1222,1,Titian,Titian,Attribution at time of gift,1942
previous_attribution,1237,2,Circle of Johannes Vermeer,"Vermeer, Johannes, Circle of",Bd. Tr. approval 5/3/78,
previous_attribution,1237,1,Johannes Vermeer,"Vermeer, Johannes",Attribution at time of gift,
previous_attribution,1240,1,John Singer Sargent,"Sargent, John Singer",,
previous_attribution,1241,2,German 16th Century,German 16th Century,Reported to Bd. Tr. 5/4/1983,1983-05-04
previous_attribution,1241,1,Baccio Bandinelli,"Bandinelli, Baccio",Attribution at time of gift,
previous_attribution,1242,1,Bartolomeo Bellano,"Bellano, Bartolomeo",Attribution at time of gift,
previous_attribution,1242,2,after Bartolomeo Bellano,"Bellano, Bartolomeo, after",Bd. Tr. approval 1/14/1981,
previous_attribution,1244,1,Attributed to Gregorio di Lorenzo (Probably Master of the Marble Madonnas),"Gregorio di Lorenzo, Attributed to (Probably Master of the Marble Madonnas)",Bd. Tr. approval 1/28/2010,2010-01-28
previous_attribution,1244,2,Giovanni Bastianini,"Bastianini, Giovanni",Bd. Tr. approval 10/10/1991,1991-10-10
previous_attribution,1244,3,Benedetto da Maiano,Benedetto da Maiano,Attribution at time of gift,1942      
previous_attribution,1245,1,Bolognese 15th Century,Bolognese 15th Century,Attribution at time of gift,
previous_attribution,1246,1,Benvenuto Cellini,"Cellini, Benvenuto",Attribution at time of gift,
previous_attribution,1247,1,Clodion,Clodion,Attribution at time of gift,
previous_attribution,1249,1,Antoine Coysevox,"Coysevox, Antoine",Attribution at time of acquistion,          
previous_attribution,1251,1,Desiderio da Settignano,Desiderio da Settignano,Attribution at time of acquisition,
previous_attribution,1253,1,Donatello,Donatello,Attribution at time of gift,
previous_attribution,1254,1,Donatello,Donatello,Attribution at time of gift,
previous_attribution,1256,1,Florentine 16th Century,Florentine 16th Century,Attribution at time of acquisition,
previous_attribution,1256,2,Florentine or Venetian 16th Century,Florentine or Venetian 16th Century,Change memo 11/4/1947,
previous_attribution,1258,2,Attributed to Francesco da Sant'Agata,"Francesco da Sant'Agata, Attributed to",Reported to Bd. Tr. 5/4/83,
previous_attribution,1258,1,Francesco da Sant'Agata,Francesco da Sant'Agata,Attribution at time of gift,
previous_attribution,1259,1,Paduan School (Manner of Francesco da Sant'Agata),Paduan School (Manner of Francesco da Sant'Agata),Attribution at time of gift,
previous_attribution,1260,1,Giovanni Bologna,"Bologna, Giovanni",Attribution at time of gift,
previous_attribution,1261,1,North Italian 16th Century,North Italian 16th Century,Reported to Bd. Tr. 5/4/1983,1983-05-04
previous_attribution,1261,2,Classicizing Artist,Classicizing Artist,"Original Kress Collection attribution reads ""Greek 4th Century B.C.""; attribution on original NGA accession card reads ""Classicizing Artist"".",1942-12-31
previous_attribution,1264,1,Jean-Antoine Houdon,"Houdon, Jean-Antoine",Attribution at time of gift,
previous_attribution,1265,1,Jean-Antoine Houdon,"Houdon, Jean-Antoine",Attribution at time of gift,
previous_attribution,1268,1,Italian 17th Century,Italian 17th Century,Attribution at time of gift,
previous_attribution,1269,1,Italian 17th Century,Italian 17th Century,Attribution at time of gift,
previous_attribution,1270,1,Florentine School,Florentine School,Attribution at time of gift,
previous_attribution,1271,1,North Italian School,North Italian School,Attribution at time of gift,
previous_attribution,1273,4,Master of the Marble Madonnas (Probably Gregorio di Lorenzo),Master of the Marble Madonnas (Probably Gregorio di Lorenzo),Bd. Tr. approval 1/28/2010; this change reflects current scholarship that identifies the Master of the Marble Madonnas as Gregorio di Lorenzo.,2010-01-28
previous_attribution,1273,3,Master of the Marble Madonnas,Master of the Marble Madonnas,Bd. Tr. approval 10/1/1987,          
previous_attribution,1273,2,Tommaso Fiamberti,"Fiamberti, Tommaso","This change, made 8/14/1964 in a memo (in the object file) from Perry Cott to John Walker, was termed an ""identification of the artist"", and the memo was annotated ""Trustee's approval not necessary"".  At the time, it was determined that the Master of the Marble Madonnas and Tommaso Fiamberti were the same person.  The 1987 change of attribution altered that opinion.",""
previous_attribution,1273,1,Master of the Marble Madonnas,Master of the Marble Madonnas,Attribution at time of gift,
previous_attribution,1276,2,North Italian 16th Century (Probably Leone Leoni),North Italian 16th Century (Probably Leone Leoni),Bd. Tr. approval 12/13/47,
previous_attribution,1276,3,North Italian 16th Century,North Italian 16th Century,Reported to Bd. Tr. 10/31/1985,
previous_attribution,1276,1,Paduan 16th Century,Paduan 16th Century,Attribution at time of gift,
previous_attribution,1277,1,Andrea Riccio,"Riccio, Andrea",Attribution at time of gift,
previous_attribution,1278,3,Attributed to Agostino Zoppo,"Zoppo, Agostino, Attributed to",Reported to Bd. Tr. 10/10/1991,          
previous_attribution,1278,2,Agostino Zoppo,"Zoppo, Agostino",Reported to Bd. Tr. 5/4/1983,          
previous_attribution,1278,1,Andrea Riccio,"Riccio, Andrea",Attribution at time of gift,
previous_attribution,1279,1,Andrea Riccio,"Riccio, Andrea",Attribution at time of gift,
previous_attribution,1281,1,Antonio Rossellino,"Rossellino, Antonio","Attribution at time of acquisition
",
previous_attribution,1282,1,Italian 16th Century,Italian 16th Century,Attribution at time of gift,
previous_attribution,1282,2,Venetian 17th Century,Venetian 17th Century,Reported to Bd. Tr. 10/4/84,
previous_attribution,1283,2,Venetian 17th Century,Venetian 17th Century,Reported to Bd. Tr. 10/4/84,
previous_attribution,1283,1,Italian 16th Century,Italian 16th Century,Attribution at time of gift,
previous_attribution,1284,1,Jacopo Sansovino,"Sansovino, Jacopo",Attribution at time of gift,
previous_attribution,1289,1,Paduan School,Paduan School,Attribution at time of gift,
previous_attribution,1299,1,Italian 15th Century,Italian 15th Century,Attribution at time of acquisition,""
previous_attribution,1300,1,Italian School,Italian School,Attribution at time of gift,
previous_attribution,1301,1,Italian School,Italian School,Attribution at time of gift,
previous_attribution,1312,1,Mantuan 15th Century,Mantuan 15th Century,Attribution at time of acquisition,""
