mediaid,mediatype,title,description,duration,language,thumbnailurl,playurl,downloadurl,keywords,tags,imageurl,presentationdate,releasedate,lastmodified
78100093,audio,National Gallery of Art Vocal Arts Ensemble and Chamber Players,"<p>Program: Music for Advent and Christmas by Bach, Buxtehude, and Praetorius. German-speaking Europe in the 18th century was replete with small duchies and kingdoms, each of which maintained resident musical ensembles with great pride and fostered outstanding composers. The National Gallery's resident vocal ensemble and chamber players present music that would have been heard around Christmastime in the baroque era in Leipzig, Lueneburg, and Wolfenbuettel, Germany—the homes, respectively, of Johann Sebastian Bach, Dietrich Buxtehude, and Michael Praetorius.</p>
",1868,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/nga-vocal.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78100093&download=true,https://api.soundcloud.com/tracks/78100093/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"advent, christmas, bach, buxtehude, praetorius, german, germany","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/nga-vocal.jpg,2011-06-21 00:00:00-04,2011-06-21 00:00:00-04,2014-05-30 14:36:54-04
78101160,audio,Nature and Fantasy in 16th-Century Italian Music,"<p>Program: Music by Arcadelt, Cara, Donato, Tromboncino, and others. The National Gallery of Art Chamber Players searched its repertoire for Italian 16th-century compositions that represent in music the mannerism that manifests itself in the art of Giuseppe Arcimboldo, which was showcased at the Gallery in the exhibition <i>Arcimboldo, 1526–1593: Nature and Fantasy</i>. The podcast includes music by Arcadelt, Cara, Donato, Tromboncino, and other composers. Their work, like that of Arcimboldo, is marked by ambiguity, virtuosity, and elegance.</p>
",3419,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/nga-chamber.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78101160&download=true,https://api.soundcloud.com/tracks/78101160/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"italian, cara, donato, tromboncino, players, arcadelt, arcimboldo","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/exhibition",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/nga-chamber.jpg,2011-05-17 00:00:00-04,2011-05-17 00:00:00-04,2014-05-29 14:31:02-04
78103593,audio,FaurÃ© Piano Quartet,"<p>Program: Music for piano quartet by Mahler and FaurÃ©. The FaurÃ© Piano Quartet plays Gustav Mahler's Piano Quartet in A Minor and Gabriel FaurÃ©'s Piano Quartet no. 1 in C Minor, op. 15, which they performed at the National Gallery of Art on October 27, 2010. Almost all of the great 19th-century composers tried their hand at writing chamber music for piano quartet, which consists of violin, viola, and cello, in addition to the piano. One of the outstanding ensembles that keep this repertoire alive in the present day is the FaurÃ© Piano Quartet, named after the composer of one of the best piano quartets in the repertoire.</p>
",3419,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/faure-quartet.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78103593&download=true,https://api.soundcloud.com/tracks/78103593/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"faure, haler, piano, quartet","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/faure-quartet.jpg,2011-04-19 00:00:00-04,2011-04-19 00:00:00-04,2014-05-23 10:07:52-04
78107239,audio,"Dan Zhu, violinist, and Renana Gutman, pianist","<p>Program: Music by Han Kun Sha, Sicong Ma, and Franz Schubert. Chinese violinist Dan Zhu and Israeli pianist Renana Gutman play in concert at the Gallery, performing works for violin and piano by Chinese composers Han Kun Sha and Sicong Ma, as well as Franz Schubert's Fantasia for Violin and Piano in C Major. Zhu appeared recently at the Fontainebleau and Casals music festivals; he is one of a number of performers who have played at the Gallery and gone on to find success on the international concert stage.</p>
",4982,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/zhu-gutman.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78107239&download=true,https://api.soundcloud.com/tracks/78107239/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"zhu, gutman, han kun sha, socong ma, franz schubert, chinese, israeli, fantastia, piano, violin, fontainbleau","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/podcast-music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/zhu-gutman.jpg,2011-03-15 00:00:00-04,2011-03-15 00:00:00-04,2020-02-12 13:39:31-05
78109155,audio,Geringas Baryton Trio,"<p>Program: Music for barytons by Beethoven and Haydn. The renowned Lithuanian cellist David Geringas performs on the baryton, an 18th-century derivative of the cello, with fellow cellists Jens Peter Maintz and Hartmut Rohde. The baryton, which enjoyed considerable popularity in its day, was a favorite of Haydn's patron Prince Nicolaus EsterhÃ¡zy, and the composer wrote a large body of baryton trios for the prince to play in ensemble with other musicians from his court orchestra.</p>
",2636,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/geringas-baryton.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78109155&download=true,https://api.soundcloud.com/tracks/78109155/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"gerigas, baryton, beethoven, haydn, cello, trio, orchestra, music","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/geringas-baryton.jpg,2011-02-15 00:00:00-05,2011-02-15 00:00:00-05,2014-05-23 11:22:16-04
78111296,audio,Flute and Harp—Heavenly Sounds in the West Garden Court,"<p>Program: Music by Godefroid, Piazzolla, and other composers. Flutist Karen Johnson and harpist Astrid Walschot-Stapp are heard together in concert at the National Gallery, playing Etude de concert by FÃ©lix Godefroid, CafÃ© 1930 by Astor Piazzolla, and music by other composers in a program that was recorded at the Gallery in January 2010.</p>
",2090,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/johnson-walschot-stapp.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78111296&download=true,https://api.soundcloud.com/tracks/78111296/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"godefroid, piazolla, johnson, walschot-stapp, flute, harp","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/johnson-walschot-stapp.jpg,2011-01-18 00:00:00-05,2011-01-18 00:00:00-05,2014-04-25 12:19:22-04
78113237,audio,Perfect 10s,"<p>Program: Claudio Monteverdi: Vespers of the Blessed Virgin (1610). Washington's National Gallery of Art Vocal Ensemble, New York's early music ensemble ARTEK, and Philadelphia's period-instrument wind band Piffaro join forces to perform Claudio Monteverdi's Vespers of the Blessed Virgin in honor of the 400th anniversary of its composition in 1610. The concert was one of a series titled &quot;1610, 1710, 1810, 1910, 2010.&quot;</p>
",2675,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/perfect-10s.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78113237&download=true,https://api.soundcloud.com/tracks/78113237/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"monteverdi, vespers, virgin, artek","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/perfect-10s.jpg,2010-12-21 00:00:00-05,2010-12-21 00:00:00-05,2014-05-30 14:36:54-04
78117275,audio,Hungarian Chamber Music at the National Gallery of Art,"<p>Program: Music by Laszlo Weiner and Ernst von DohnÃ¡nyi. The National Gallery of Art Piano Trio joins forces with Hungarian violinist Vilmos Szabadi and violist Szilvia KovÃ¡cs to perform music by Laszlo Weiner and Ernst von DohnÃ¡nyi. The concert was a part of Extremely Hungary, a festival of art exhibitions, films, and concerts staged in New York City and Washington in 2009.</p>
",4866,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/hungarian-music.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78117275&download=true,https://api.soundcloud.com/tracks/78117275/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"hungarian, szabadi, weiner","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/exhibition",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/hungarian-music.jpg,2010-11-16 00:00:00-05,2010-11-16 00:00:00-05,2014-05-23 12:06:28-04
123416233,audio,"Allies Day, May 1917, Hassam-Kid’s","<p>&nbsp;<br>
</p>
",128,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/allies-day.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F123416233&download=true,https://api.soundcloud.com/tracks/123416233/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"allies day, may 1917, hassam, american, national gallery","ngaweb:artobjects/3/0/1/1/5/ArtObject_30115,ngaweb:constituents/1/3/7/9/Constituent_1379,ngaweb:audio-video/audio,ngaweb:audio-video/kids-audio,ngaweb:audio-video/podcast-audio",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/allies-day.jpg,2014-01-01 00:00:00-05,2014-01-01 00:00:00-05,2014-05-15 08:49:40-04
78119269,audio,Notes from Norway,"<p>Program: Music by Grieg, Saeverud, and other composers. Trumpeter Tine Thing Helseth and pianist Steffen Horn play a concert at the National Gallery of Art as part of the annual Norwegian Christmas Festival at Union Station in Washington, DC. In addition to transcriptions of familiar works by FrÃ©dÃ©ric Chopin and Edvard Grieg, the duo plays original works for trumpet and piano by Georges Enescu, Maurice Ravel, and Harald Saeverud.</p>
",2199,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/notes-norway.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78119269&download=true,https://api.soundcloud.com/tracks/78119269/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"norway, tine, thing, helseth, horn, norwegian, chopin, grieg enescu, ravel, saeverd","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/notes-norway.jpg,2010-10-19 00:00:00-04,2010-10-19 00:00:00-04,2014-05-30 11:43:44-04
78122365,audio,Del Sol String Quartet,"<p>Program: Music by Glass and Szymanski. The Del Sol String quartet plays music by Philip Glass and Pawel Szymanski in honor of the exhibition The Robert and Jane Meyerhoff Collection: Selected Works. Two-time winner of the Chamber Music America/ASCAP First Prize for Adventurous Programming, the San Francisco-based Del Sol String Quartet has received enthusiastic response from critics and audiences for its lively interpretation of new music. Their concert at the National Gallery was presented in celebration of the <i>Meyerhoff Collection</i> and late twentieth-century American masters.</p>
",3541,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/del-sol-string.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78122365&download=true,https://api.soundcloud.com/tracks/78122365/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"quartet, glass, szymanski, chamber, music, del, sol","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/exhibition,ngaweb:audio-video/collection",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/del-sol-string.jpg,2010-09-21 00:00:00-04,2010-09-21 00:00:00-04,2014-05-30 10:00:30-04
78123797,audio,Amarcord,"<p>Program: Music by Hassler, Isaac, Senfl, and other German Renaissance composers. Amarcord, one of Germany's outstanding male vocal ensembles, sings a special program of Renaissance music to complement the works by German and Netherlandish Renaissance masters in the Gallery's collection. The internationally acclaimed five-voice male ensemble draws from its repertoire of music by Hans Leo Hassler, Heinrich Isaac, Ludwig Senfl, and other Renaissance composers.</p>
",2182,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/amarcord.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78123797&download=true,https://api.soundcloud.com/tracks/78123797/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,amarcord,"ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/collection,ngaweb:audio-video/podcast-audio",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/amarcord.jpg,2010-08-10 00:00:00-04,2010-08-10 00:00:00-04,2014-05-08 15:15:31-04
78126103,audio,National Gallery of Art Resident Ensembles,"<p>Program: Music composed by Ludwig van Beethoven in the year 1810. National Gallery of Art resident ensembles perform music of Ludwig van Beethoven that was written exactly 200 years ago. The National Gallery of Art String Quartet plays the Quartet no. 10 in E-flat Major (&quot;Harp&quot;); the National Gallery of Art Wind Quintet plays an arrangement of the Sextet, op. 71; and the National Gallery of Art Piano Trio plays the Piano Trio in B-flat Major, op. 97.</p>
",3284,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/nga-resident.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78126103&download=true,https://api.soundcloud.com/tracks/78126103/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"quintet, wind, string, sextet, trio, beethovan, harp, major, ludwig, ensemble","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/nga-resident.jpg,2010-07-20 00:00:00-04,2010-07-20 00:00:00-04,2014-04-25 12:45:03-04
78128445,audio,"Peter Vinograde, pianist","<p>Program: Music by Flagello and Ruggles. Pianist Peter Vinograde plays American music from the 1950s and 1960s in honor of the exhibition Looking <i>In: Robert Frank's &quot;The Americans.&quot;</i></p>
",1565,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/peter-vinograde.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78128445&download=true,https://api.soundcloud.com/tracks/78128445/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"flagello, hutcheson, ruggles, vinograde","ngaweb:audio-video/audio,ngaweb:audio-video/music,ngaweb:audio-video/exhibition,ngaweb:exhibitions/2009/frank",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/peter-vinograde.jpg,2010-06-15 00:00:00-04,2010-06-15 00:00:00-04,2014-05-29 14:49:03-04
78131537,audio,Ritz Chamber Players,"<p>Program: Music by Dvorak, Mozart, and Villa-Lobos. The Ritz Chamber Players, the only all-African American professional chamber music ensemble, play masterworks of 18th-, 19th-, and 20th-century chamber music in concert at the National Gallery of Art. Members of the ensemble performing in this podcast are Kelly Hall-Tompkins, violin, Amadi Azikiwe, viola, Tahira Whittington, cello, Judy Dines, flute, and Terrence Wilson, piano.</p>
",4271,en,https://www.nga.gov/content/dam/ngaweb/audio-video/audio/thumbnails/ritz-chamber.jpg,https://w.soundcloud.com/player/?url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F78131537&download=true,https://api.soundcloud.com/tracks/78131537/download?client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P,"ritz, chambers, players, ensemble","ngaweb:audio-video/audio,ngaweb:audio-video/music",https://www.nga.gov/content/dam/ngaweb/audio-video/audio/infoboxes/ritz-chamber.jpg,2010-05-18 00:00:00-04,2010-05-18 00:00:00-04,2014-05-30 14:31:25-04
